freqs (cycles/rot),amps,mag (ohm-cm),phase,amp_ratio,ACT_str,ACT,T,H,geo
4,(4.73031110077539e-07-1.0283738217073043e-06j),1.1319501527338009e-06,3.22856281351968,0.09430919646777683,ACTRot11,11.0,15.0,9.0,perp
8,(6.391996256139747e-07+4.369562570657929e-07j),7.74278329784576e-07,3.22856281351968,0.0645095253956541,ACTRot11,11.0,15.0,9.0,perp
9,(-2.1301586676540186e-07+6.637699256738781e-07j),6.971128127662847e-07,3.22856281351968,0.058080427888630735,ACTRot11,11.0,15.0,9.0,perp
0,(4.875580825349463e-19+0j),4.875580825349463e-19,3.22856281351968,4.062123308538847e-14,ACTRot11,11.0,15.0,9.0,perp
2,(-1.6048630648738076e-06-4.450811127422622e-06j),4.7313111448080835e-06,4.366322108729278,1.0,ACTRot11,11.0,1.9,0.5,perp
6,(-3.9437444634974884e-07-5.829251641609258e-07j),7.037989421317093e-07,4.366322108729278,0.14875346824400354,ACTRot11,11.0,1.9,0.5,perp
8,(-5.653016040482327e-07-3.596358097147305e-07j),6.700028501198146e-07,4.366322108729278,0.14161039712111176,ACTRot11,11.0,1.9,0.5,perp
4,(-4.850621715674889e-07-4.310927235236257e-07j),6.489424061970255e-07,4.366322108729278,0.13715910586627644,ACTRot11,11.0,1.9,0.5,perp
1,(-4.279827454714509e-07+3.0939971557610965e-07j),5.281073890979545e-07,4.366322108729278,0.11161967009450953,ACTRot11,11.0,1.9,0.5,perp
3,(1.477977003155313e-07-2.2538621171799637e-07j),2.695238480193341e-07,4.366322108729278,0.056965995211516955,ACTRot11,11.0,1.9,0.5,perp
7,(-2.413281389017117e-08-1.154673317427479e-07j),1.1796227111262072e-07,4.366322108729278,0.024932258205437815,ACTRot11,11.0,1.9,0.5,perp
9,(1.357645335732571e-08+1.1010053070710128e-07j),1.109344263416411e-07,4.366322108729278,0.02344686767501547,ACTRot11,11.0,1.9,0.5,perp
5,(8.046747863748499e-08+5.693640681949554e-09j),8.06686597290996e-08,4.366322108729278,0.017049958723940942,ACTRot11,11.0,1.9,0.5,perp
0,(-2.425189070033365e-20+0j),2.425189070033365e-20,4.366322108729278,5.125828751919333e-15,ACTRot11,11.0,1.9,0.5,perp
4,(-6.800193215501941e-05-2.6941579986241906e-05j),7.314445644729977e-05,5.319104513252129,1.0,ACTRot11,11.0,1.9,3.0,perp
2,(1.9450567982557794e-06-2.8025093163648063e-06j),3.411349354251563e-06,5.319104513252129,0.04663852217849788,ACTRot11,11.0,1.9,3.0,perp
3,(1.558157739271492e-06-2.929123626005038e-07j),1.5854504699346038e-06,5.319104513252129,0.02167560669586646,ACTRot11,11.0,1.9,3.0,perp
5,(-6.098595312228816e-07-1.1850639453653006e-06j),1.3327810031765028e-06,5.319104513252129,0.018221216861960893,ACTRot11,11.0,1.9,3.0,perp
1,(1.2314977533179507e-06+1.5883126099137283e-07j),1.2416980655116083e-06,5.319104513252129,0.01697596955151681,ACTRot11,11.0,1.9,3.0,perp
8,(-7.928731216679969e-07-7.208226239552401e-07j),1.0715563644854487e-06,5.319104513252129,0.014649864344230924,ACTRot11,11.0,1.9,3.0,perp
6,(-7.091111794908994e-07-5.028580121751072e-07j),8.693128581170733e-07,5.319104513252129,0.011884876863408084,ACTRot11,11.0,1.9,3.0,perp
7,(-3.6313115030802987e-07-2.0823504038044035e-07j),4.1860012466108585e-07,5.319104513252129,0.005722923444822988,ACTRot11,11.0,1.9,3.0,perp
9,(-1.1553381450556712e-07-2.479871471664314e-07j),2.7357939881129957e-07,5.319104513252129,0.003740261560469893,ACTRot11,11.0,1.9,3.0,perp
0,(3.602119059902498e-19+0j),3.602119059902498e-19,5.319104513252129,4.9246644720065796e-15,ACTRot11,11.0,1.9,3.0,perp
4,(-6.115557496651795e-05-2.359074324239355e-05j),6.55479024547234e-05,4.788218127885284,1.0,ACTRot11,11.0,1.9,7.0,perp
8,(3.947197733466447e-06+3.244797250760775e-06j),5.109704408831037e-06,4.788218127885284,0.07795374401736985,ACTRot11,11.0,1.9,7.0,perp
5,(-4.818169296173748e-07-1.7032565356259222e-06j),1.770093325171962e-06,4.788218127885284,0.027004576178385527,ACTRot11,11.0,1.9,7.0,perp
3,(1.4462390628637774e-06-7.466579067327171e-07j),1.6276072796100354e-06,4.788218127885284,0.024830806458441438,ACTRot11,11.0,1.9,7.0,perp
6,(-1.4552795106136913e-06+6.243993654268963e-08j),1.4566184125183507e-06,4.788218127885284,0.022222197171366333,ACTRot11,11.0,1.9,7.0,perp
1,(9.20152759907429e-07+2.1705006709213088e-07j),9.454056447842678e-07,4.788218127885284,0.01442312582675392,ACTRot11,11.0,1.9,7.0,perp
7,(-5.004030231355116e-07-2.8289909183886364e-07j),5.748348299524074e-07,4.788218127885284,0.008769690690704697,ACTRot11,11.0,1.9,7.0,perp
9,(-2.1189281453153745e-08+5.308506498504453e-07j),5.312733741635666e-07,4.788218127885284,0.008105116323600723,ACTRot11,11.0,1.9,7.0,perp
2,(2.4846927092542923e-08-3.270415911735792e-07j),3.279841034917525e-07,4.788218127885284,0.005003731488102223,ACTRot11,11.0,1.9,7.0,perp
0,(-7.453889935837843e-20+0j),7.453889935837843e-20,4.788218127885284,1.1371668133830135e-15,ACTRot11,11.0,1.9,7.0,perp
4,(-3.714594057858757e-05-1.3938039376455729e-05j),3.967480111012012e-05,6.23481714587339,1.0,ACTRot11,11.0,1.9,9.0,perp
8,(1.7635629747121295e-06+1.3386683607637592e-06j),2.21408837806566e-06,6.23481714587339,0.05580590995075958,ACTRot11,11.0,1.9,9.0,perp
6,(-9.377912892746947e-07+6.888792643941364e-07j),1.1636181259982592e-06,6.23481714587339,0.029328896262606523,ACTRot11,11.0,1.9,9.0,perp
