,Temperature (K),Sample Position (deg),Res. (ohm-cm),ACT,ACT_str,T,H,geo,Delta Res. Mean (ohm-cm),Delta Res./R0 Mean (ohm-cm),Delta Res./R0 Mean (%),Delta Res. 0deg (ohm-cm),Delta Res./R0 0deg (ohm-cm),Delta Res./R0 0deg (%),Sample Position (rads),Res. (uohm-cm),Delta Res. Mean (uohm-cm),Delta Res./R0 Mean (uohm-cm),Delta Res. 0deg (uohm-cm),Delta Res./R0 0deg (uohm-cm)
37,10.000364775,74.0011978,0.0003946967158469,11,ACTRot11,10.0,0.5,perp,-8.3850695933624e-09,-2.12438845454303e-05,-0.83850695933624,-2.5229143700014004e-08,-6.391624286461908e-05,-2.5229143700014003,1.2915645520295842,394.69671584689996,-0.0083850695933624,-21.2438845454303,-0.025229143700014004,-63.916242864619086
38,10.000352875,76.0227966,0.0003947392145752,11,ACTRot11,10.0,0.5,perp,3.4113658706680025e-08,8.642821850406579e-05,3.4113658706680026,1.726958460002842e-08,4.375126546470499e-05,1.726958460002842,1.3268481072439506,394.73921457520004,0.034113658706680025,86.42821850406578,0.01726958460002842,43.751265464704986
39,10.0003817,77.9911957,0.0003947514467554,11,ACTRot11,10.0,0.5,perp,4.634583890668559e-08,0.00011741890033615464,4.6345838906685595,2.9501764800033987e-08,7.474062482321967e-05,2.9501764800033987,1.3612031525322439,394.7514467554,0.04634583890668559,117.41890033615464,0.029501764800033987,74.74062482321968
40,10.0002761,80.0128021,0.0003946425744536,11,ACTRot11,10.0,0.5,perp,-6.25264628933541e-08,-0.00015841311082164772,-6.25264628933541,-7.937053700000571e-08,-0.00020107961568211228,-7.937053700000571,1.3964868403916333,394.6425744536,-0.0625264628933541,-158.4131108216477,-0.07937053700000571,-201.0796156821123
41,10.0002539,81.9812012,0.0003946652140024,11,ACTRot11,10.0,0.5,perp,-3.9886914093346416e-08,-0.00010105497496923704,-3.9886914093346415,-5.673098819999802e-08,-0.000143723927488625,-5.673098819999802,1.4308418856799263,394.6652140024,-0.039886914093346416,-101.05497496923704,-0.05673098819999802,-143.723927488625
42,10.000369325,84.0028,0.0003945959507436,11,ACTRot11,10.0,0.5,perp,-1.0915017289336209e-07,-0.0002765360078699735,-10.915017289336209,-1.259942470000137e-07,-0.0003191974720407657,-12.59942470000137,1.4661254408942925,394.5959507436,-0.10915017289336208,-276.5360078699735,-0.1259942470000137,-319.1974720407657
43,10.00027845,86.0243988,0.0003946739596308,11,ACTRot11,10.0,0.5,perp,-3.1141285693322886e-08,-7.88976013256828e-05,-3.1141285693322884,-4.798535979997449e-08,-0.00012156749937254497,-4.798535979997449,1.5014089961086592,394.6739596308,-0.031141285693322886,-78.8976013256828,-0.047985359799974495,-121.56749937254497
44,10.000760325,87.9927979,0.0003946093482114,11,ACTRot11,10.0,0.5,perp,-9.575270509332764e-08,-0.00024259302672043697,-9.575270509332764,-1.1259677919997924e-07,-0.00028525593934905405,-11.259677919997925,1.5357640413969522,394.6093482114,-0.09575270509332764,-242.59302672043697,-0.11259677919997924,-285.255939349054
45,10.000912875,90.0143967,0.0003946087704055,11,ACTRot11,10.0,0.5,perp,-9.633051099335044e-08,-0.00024405691938025098,-9.633051099335043,-1.1317458510000204e-07,-0.00028671976953978883,-11.317458510000204,1.5710475966113184,394.60877040549997,-0.09633051099335044,-244.05691938025097,-0.11317458510000204,-286.71976953978884
46,10.000773675,91.9827957,0.0003947584565198,11,ACTRot11,10.0,0.5,perp,5.335560330664221e-08,0.00013517839820856664,5.335560330664221,3.651152919999061e-08,9.249936483987508e-05,3.6511529199990607,1.6054026401542822,394.7584565198,0.05335560330664221,135.17839820856665,0.03651152919999061,92.49936483987507
